ID_Unico,Fondo_Documental,Nombre_Original,Nombre_Normalizado,Carpeta_Fisica,Numero_Documento,Tipo_Documental,Titulo,Fecha_Exacta,Fecha_Aproximada,Año,Autor_Emisor,Destinatario,Institucion_Vinculada,Lugar,Tema_Principal,Descripcion_Breve,Palabras_Clave,Soporte_Original_Inferido,Idioma,Cantidad_Paginas,Estado_Legibilidad,Estado_Conservacion_Inferido,Valor_Administrativo,Valor_Historico,Valor_Patrimonial,Nivel_Acceso,Duplicado_SN,Documento_Incompleto_SN,OCR_Revisado_SN,Ruta_Almacenamiento,Observaciones,Medidas
1,Estación La Lata – Cardona,Adobe Scan 21 abr. 2026.pdf,LL_Carpeta01_DOC0001.pdf,Carpeta01,DOC0001,Documento técnico,[inferido - documento sin contenido OCR legible],,Años 70-80,1970,[inferido],[inferido],[inferido],Uruguay,[inferido],[Documento escaneado - sin texto OCR extraíble. Posiblemente imágenes puras o documento técnico con gráficos.],[documento; ferrocarril; técnico; AFE; referencia],Papel,[inferido],12,Baja,[inferido],No,Sí,No,Público,No,No,No,Carpeta01/LL_Carpeta01_DOC0001.pdf,Catalogación realizada por Sergio Pérez mediante análisis OCR. Documento de 12 páginas sin contenido textual extraíble - requiere revisión física manual.,
2,Estación La Lata – Cardona,Adobe Scan 21 abr. 2026 (1).pdf,LL_Carpeta01_DOC0002.pdf,Carpeta01,DOC0002,Listado/Catálogo,Tarifa MERCOSUR transporte de contenedores,,Años 70-80,1970,Administración de Ferrocarriles del Estado,Estaciones del AFE,AFE - Administración de Ferrocarriles,Uruguay,Tarifas de transporte,Tabla de tarifas para transporte de contenedores de 40 pies entre diferentes estaciones. Incluye precios diferenciados según rutas y distancias. Documento administrativo de gestión tarifaria.,AFE; transporte; contenedores; tarifa; MERCOSUR; ferrocarril; comercial,Papel,Español,1,Parcial,Buen estado,Sí,Sí,No,Público,No,No,Sí,Carpeta01/LL_Carpeta01_DOC0002.pdf,Catalogación realizada por Sergio Pérez mediante OCR (pdftotext). Documento con errores de OCR - algunos números afectados.,
3,Estación La Lata – Cardona,Adobe Scan 21 abr. 2026 (2).pdf,LL_Carpeta01_DOC0003.pdf,Carpeta01,DOC0003,Listado/Catálogo,Tarifa MERCOSUR contenedores 40 pies - Matriz tarifaria,,Años 70-80,1970,Administración de Ferrocarriles del Estado,Estaciones del AFE,AFE - Administración de Ferrocarriles,Uruguay,Tarifas de transporte,Continuación de tabla tarifaria para contenedores de 40 pies. Presenta matriz de precios entre diferentes estaciones. Documento de referencia para personal comercial. Incluye 5 rutas numeradas con precios de ida y retorno.,AFE; transporte; contenedores; tarifa; 40 pies; ferrocarril; matriz tarifaria; precio,Papel,Español,2,Clara,Buen estado,Sí,Sí,No,Público,No,No,Sí,Carpeta01/LL_Carpeta01_DOC0003.pdf,Catalogación realizada por Sergio Pérez mediante OCR. Documento legible. Posible continuación de DOC0002 - ambas son tablas tarifarias MERCOSUR.,
4,Estación La Lata – Cardona,Adobe Scan 21 abr. 2026 (3).pdf,LL_Carpeta01_DOC0004.pdf,Carpeta01,DOC0004,Listado/Catálogo técnico,Distancias Kilométricas Entre Estaciones AFE,,Años 70-80,1970,Administración de Ferrocarriles del Estado - Depto. Comercial,Estaciones del AFE,AFE - Departamento Comercial,Uruguay,Operación ferroviaria - Distancias,Catálogo técnico completo de distancias kilométricas entre todas las estaciones de la red de ferrocarril. Documento de referencia esencial para cálculo de tarifas y distancias en transportes de carga y pasajeros. Incluye portada con indicación 'Departamento Comercial' y tabla de distancias técnicas.,AFE; distancia; kilométrica; estación; ferrocarril; comercial; tarifa; referencia; transporte,Papel,Español,60,Clara,Buen estado,Sí,Sí,No,Público,No,No,Sí,Carpeta01/LL_Carpeta01_DOC0004.pdf,Catalogación realizada por Sergio Pérez mediante OCR (tesseract). Documento extenso de 60 páginas. Alto valor para estudio de infraestructura ferroviaria histórica. Esencial para comprender red de distribución.,
5,Estación La Lata – Cardona,Adobe Scan 21 abr. 2026 (4).pdf,LL_Carpeta01_DOC0005.pdf,Carpeta01,DOC0005,Circular administrativa,Tarifa para el transporte de arroz quebrado y puntas de arroz,30/07/1971,,1971,Administración de Ferrocarriles del Estado - Depto. Comercial,Jefes de Estación,AFE - Gerencia de Explotación,Uruguay,Tarifas - Productos agrícolas,Circular Nº 498 que establece tarificación para arroz quebrado. Instrucción que incluye estos productos en el anexo 1.5 página 19 del tarifario. Aplicar tarifas de arroz elaborado. Documento administrativo normativo.,AFE; circular; tarifa; arroz; transporte; Depto. Comercial; 1971; productos agrícolas,Papel,Español,1,Clara,Buen estado,Sí,Sí,No,Público,No,No,Sí,Carpeta01/LL_Carpeta01_DOC0005.pdf,Catalogación realizada por Sergio Pérez mediante OCR (pdftotext). Documento bien conservado. Firmado por Jefe Depto. Comercial. Fecha específica: 30/07/1971.,
6,Estación La Lata – Cardona,Adobe Scan 21 abr. 2026 (5).pdf,LL_Carpeta01_DOC0006.pdf,Carpeta01,DOC0006,Memorándum,Memorándum Administración de Ferrocarriles del Estado - Interpretación de Tarifas,,Años 70,1970,Administración de Ferrocarriles del Estado - Gerencia de Explotación,Estaciones de AFE,AFE - Gerencia de Explotación,Uruguay,Gestión administrativa,Memorándum de la Gerencia de Explotación dirigido a estaciones. Contiene indicaciones administrativas sobre interpretación correcta de tarifas. Documento de comunicación interna normativa sobre procedimientos de aplicación de tarifarios.,AFE; memorándum; gestión administrativa; Gerencia de Explotación; tarifas; estaciones; interpretación,Papel,Español,1,Parcial,Buen estado,Sí,Sí,No,Público,No,No,Sí,Carpeta01/LL_Carpeta01_DOC0006.pdf,Catalogación realizada por Sergio Pérez mediante OCR (pdftotext). Parcialmente legible - algunos párrafos con defectos de escaneo en zona media del texto.,
7,Estación La Lata – Cardona,Circular E.2046,LL_Carpeta02_DOC0002.pdf,Carpeta02,DOC0002,Circular Administrativa,Utilización de Tablas Contra Puertas en Vagones Multiuso,1988-06-29,,1988,Gerencia de Explotación AFE,Jefes de Estaciones,AFE,Montevideo,Administración Ferroviaria,Utilización de tablas contra puertas en vagones multiuso 40B,Vagones; Tablas; Transporte,Papel fotocopia,Español,1,Buena,Bueno,Alto,Medio,Medio,Público,No,No,No,Carpeta02/LL_Carpeta02_DOC0002.pdf,Catalogación por S. Pérez. Separado del sobre DOCS VARIOS 2.,19.4 cm x 29.7 cm
8,Estación La Lata – Cardona,Circular E.2497,LL_Carpeta02_DOC0003.pdf,Carpeta02,DOC0003,Circular Administrativa,Control de Tablas Contra Puertas para Vagones Graneleros,1984-03-19,,1984,Gerencia de Explotación AFE,Personal de Trenes,AFE,Montevideo,Control Operativo,Control de tablas contra puertas en vagones graneleros siguiendo Circular E.2584,Vagones; Control; Tablas; Graneleros,Papel fotocopia,Español,1,Buena,Bueno,Alto,Medio,Medio,Público,No,No,No,Carpeta02/LL_Carpeta02_DOC0003.pdf,Catalogación por S. Pérez. Separado del sobre DOCS VARIOS 2.,17.9 cm x 29.7 cm
9,Estación La Lata – Cardona,Circular E.2548,LL_Carpeta02_DOC0004.pdf,Carpeta02,DOC0004,Circular Administrativa,Encerados o Lonas de Pisos en Transporte de Productos Químicos,1985-05-08,,1985,Gerencia de Explotación AFE,Jefes de Tráfico,AFE,Montevideo,Seguridad y Transporte,Regulación de encerados o lonas para cubierta de pisos en vagones con productos químicos,Productos químicos; Seguridad; Encerados; Lonas; Vagones,Papel fotocopia,Español,1,Buena,Bueno,Alto,Medio,Medio,Público,No,No,No,Carpeta02/LL_Carpeta02_DOC0004.pdf,Catalogación por S. Pérez. Separado del sobre DOCS VARIOS 2.,19.6 cm x 29.7 cm
10,Estación La Lata – Cardona,Circular E.2495,LL_Carpeta02_DOC0005.pdf,Carpeta02,DOC0005,Circular Administrativa,División de Sumarios - Remisión de Adelantos,1987-12-26,,1987,Gerencia de Explotación AFE,Superintendencia,AFE,Montevideo,Procedimientos Administrativos,Procedimientos para confección y remisión de sumarios de adelantos,Sumarios; Adelantos; Procedimientos; Administración,Papel fotocopia,Español,1,Buena,Bueno,Alto,Medio,Medio,Público,No,No,No,Carpeta02/LL_Carpeta02_DOC0005.pdf,Catalogación por S. Pérez. Separado del sobre DOCS VARIOS 2.,20.2 cm x 29.7 cm
